         12x6.dat                          06/07/13                                                 
                                                                                                    
                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                              
                                                                                                    
         DEFINITIONS:                                                                               
         J=V/nD (advance ratio)                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                     
         Pe=Ct*J/Cp (efficiency)                                                                    
         V  (model speed in MPH)                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =       1000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
        95.2        0.76      0.4210      0.0035      0.0062       0.166       0.953       0.276    
        98.6        0.79     -0.0030      0.0000      0.0042       0.112       0.640      -0.001    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      12000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1084      0.0679       2.348      12.334      10.315    
         3.7        0.03      0.0436      0.1003      0.0626       2.164      11.364       9.538    
         7.4        0.05      0.0875      0.0923      0.0574       1.986      10.432       8.778    
        11.1        0.08      0.1314      0.0845      0.0525       1.816       9.538       8.036    
        14.8        0.11      0.1751      0.0769      0.0478       1.653       8.680       7.313    
        18.6        0.14      0.2186      0.0695      0.0433       1.496       7.858       6.612    
        22.3        0.16      0.2616      0.0650      0.0406       1.403       7.371       6.185    
        26.0        0.19      0.3039      0.0628      0.0394       1.362       7.155       5.977    
        29.7        0.22      0.3446      0.0605      0.0382       1.322       6.945       5.757    
        33.4        0.24      0.3835      0.0581      0.0371       1.284       6.745       5.531    
        37.1        0.27      0.4201      0.0558      0.0361       1.250       6.564       5.307    
        40.8        0.30      0.4555      0.0534      0.0351       1.213       6.373       5.078    
        44.5        0.33      0.4895      0.0509      0.0340       1.175       6.170       4.843    
        48.2        0.35      0.5223      0.0484      0.0328       1.134       5.955       4.604    
        51.9        0.38      0.5536      0.0458      0.0315       1.091       5.729       4.359    
        55.7        0.41      0.5835      0.0432      0.0302       1.045       5.489       4.109    
        59.4        0.44      0.6118      0.0405      0.0288       0.997       5.236       3.853    
        63.1        0.46      0.6384      0.0377      0.0273       0.946       4.968       3.590    
        66.8        0.49      0.6632      0.0349      0.0258       0.892       4.687       3.323    
        70.5        0.52      0.6859      0.0321      0.0242       0.836       4.391       3.050    
        74.2        0.54      0.7059      0.0291      0.0225       0.777       4.080       2.771    
        77.9        0.57      0.7224      0.0261      0.0207       0.715       3.757       2.487    
        81.6        0.60      0.7341      0.0231      0.0188       0.651       3.421       2.196    
        85.3        0.63      0.7391      0.0200      0.0169       0.585       3.074       1.901    
        89.1        0.65      0.7347      0.0168      0.0149       0.517       2.716       1.600    
        92.8        0.68      0.7182      0.0136      0.0129       0.445       2.338       1.293    
        96.5        0.71      0.6809      0.0103      0.0107       0.370       1.941       0.978    
       100.2        0.73      0.6014      0.0069      0.0084       0.292       1.534       0.658    
       103.9        0.76      0.4279      0.0035      0.0062       0.214       1.124       0.331    
       107.6        0.79      0.0021      0.0000      0.0041       0.143       0.751       0.001    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      13000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1090      0.0670       2.947      14.287      12.167    
         4.0        0.03      0.0442      0.1008      0.0620       2.726      13.214      11.256    
         8.0        0.05      0.0884      0.0928      0.0571       2.512      12.176      10.364    
        12.1        0.08      0.1324      0.0850      0.0524       2.305      11.174       9.494    
        16.1        0.11      0.1760      0.0774      0.0479       2.105      10.205       8.646    
        20.1        0.14      0.2192      0.0701      0.0435       1.912       9.269       7.822    
        24.1        0.16      0.2616      0.0656      0.0409       1.799       8.720       7.321    
        28.1        0.19      0.3033      0.0634      0.0398       1.751       8.489       7.081    
        32.1        0.22      0.3436      0.0611      0.0387       1.703       8.255       6.825    
        36.2        0.24      0.3822      0.0588      0.0376       1.655       8.023       6.559    
        40.2        0.27      0.4188      0.0564      0.0366       1.610       7.805       6.293    
        44.2        0.30      0.4542      0.0539      0.0355       1.562       7.574       6.021    
        48.2        0.33      0.4883      0.0515      0.0344       1.512       7.332       5.745    
        52.2        0.35      0.5212      0.0489      0.0332       1.459       7.074       5.460    
        56.2        0.38      0.5526      0.0463      0.0319       1.403       6.803       5.170    
        60.3        0.41      0.5826      0.0437      0.0306       1.344       6.517       4.873    
        64.3        0.44      0.6112      0.0409      0.0291       1.282       6.214       4.570    
        68.3        0.46      0.6380      0.0382      0.0277       1.216       5.897       4.261    
        72.3        0.49      0.6630      0.0353      0.0261       1.147       5.560       3.943    
        76.3        0.52      0.6858      0.0324      0.0244       1.074       5.208       3.619    
        80.4        0.54      0.7061      0.0295      0.0227       0.998       4.838       3.289    
        84.4        0.57      0.7231      0.0264      0.0209       0.919       4.454       2.952    
        88.4        0.60      0.7354      0.0233      0.0190       0.835       4.049       2.606    
        92.4        0.63      0.7414      0.0202      0.0171       0.750       3.636       2.256    
        96.4        0.65      0.7384      0.0170      0.0150       0.662       3.207       1.900    
       100.4        0.68      0.7231      0.0138      0.0129       0.569       2.760       1.537    
       104.5        0.71      0.6870      0.0104      0.0107       0.471       2.283       1.161    
       108.5        0.73      0.6088      0.0070      0.0084       0.371       1.797       0.780    
       112.5        0.76      0.4363      0.0035      0.0061       0.270       1.308       0.392    
       116.5        0.79     -0.0045      0.0000      0.0040       0.177       0.859      -0.003    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      14000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1098      0.0664       3.646      16.414      14.214    
         4.3        0.03      0.0449      0.1016      0.0616       3.385      15.240      13.155    
         8.7        0.05      0.0894      0.0936      0.0570       3.131      14.094      12.118    
        13.0        0.08      0.1334      0.0858      0.0525       2.883      12.979      11.105    
        17.3        0.11      0.1769      0.0782      0.0481       2.642      11.893      10.119    
        21.6        0.14      0.2197      0.0708      0.0438       2.407      10.838       9.160    
        26.0        0.16      0.2616      0.0663      0.0414       2.272      10.229       8.581    
        30.3        0.19      0.3027      0.0642      0.0404       2.218       9.984       8.306    
        34.6        0.22      0.3425      0.0619      0.0393       2.160       9.725       8.010    
        39.0        0.24      0.3808      0.0595      0.0382       2.101       9.457       7.699    
        43.3        0.27      0.4175      0.0571      0.0372       2.043       9.197       7.387    
        47.6        0.30      0.4529      0.0546      0.0361       1.982       8.923       7.069    
        52.0        0.33      0.4871      0.0521      0.0349       1.918       8.633       6.743    
        56.3        0.35      0.5200      0.0495      0.0337       1.850       8.329       6.411    
        60.6        0.38      0.5516      0.0469      0.0324       1.779       8.008       6.070    
        64.9        0.41      0.5818      0.0442      0.0310       1.703       7.667       5.722    
        69.3        0.44      0.6105      0.0414      0.0296       1.623       7.307       5.364    
        73.6        0.46      0.6376      0.0386      0.0280       1.539       6.927       4.998    
        77.9        0.49      0.6628      0.0357      0.0264       1.450       6.527       4.625    
        82.3        0.52      0.6859      0.0328      0.0247       1.357       6.107       4.242    
        86.6        0.54      0.7065      0.0298      0.0229       1.259       5.669       3.853    
        90.9        0.57      0.7238      0.0267      0.0211       1.159       5.219       3.461    
        95.2        0.60      0.7366      0.0236      0.0192       1.054       4.747       3.058    
        99.6        0.63      0.7434      0.0204      0.0172       0.945       4.255       2.646    
       103.9        0.65      0.7417      0.0172      0.0152       0.833       3.748       2.229    
       108.2        0.68      0.7273      0.0139      0.0130       0.714       3.215       1.799    
       112.6        0.71      0.6924      0.0105      0.0107       0.590       2.656       1.361    
       116.9        0.73      0.6119      0.0070      0.0084       0.462       2.079       0.907    
       121.2        0.76      0.4475      0.0036      0.0061       0.334       1.506       0.463    
       125.6        0.79     -0.0025      0.0000      0.0040       0.217       0.977      -0.002    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      15000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1110      0.0661       4.468      18.772      16.491    
         4.6        0.03      0.0453      0.1027      0.0616       4.164      17.494      15.269    
         9.3        0.05      0.0900      0.0947      0.0572       3.865      16.239      14.073    
        13.9        0.08      0.1339      0.0868      0.0529       3.571      15.005      12.904    
        18.5        0.11      0.1770      0.0792      0.0486       3.283      13.795      11.765    
        23.2        0.14      0.2194      0.0717      0.0444       3.001      12.609      10.659    
        27.8        0.16      0.2607      0.0672      0.0420       2.839      11.927       9.986    
        32.4        0.19      0.3011      0.0651      0.0411       2.778      11.672       9.673    
        37.1        0.22      0.3403      0.0628      0.0401       2.711      11.391       9.336    
        41.7        0.24      0.3783      0.0604      0.0390       2.638      11.084       8.976    
        46.3        0.27      0.4149      0.0579      0.0380       2.564      10.773       8.611    
        51.0        0.30      0.4503      0.0554      0.0368       2.486      10.446       8.240    
        55.6        0.33      0.4845      0.0529      0.0356       2.405      10.103       7.861    
        60.2        0.35      0.5176      0.0503      0.0343       2.319       9.742       7.473    
        64.8        0.38      0.5493      0.0476      0.0330       2.228       9.363       7.078    
        69.5        0.41      0.5796      0.0449      0.0316       2.133       8.962       6.673    
        74.1        0.43      0.6086      0.0421      0.0301       2.032       8.538       6.258    
        78.7        0.46      0.6359      0.0392      0.0285       1.926       8.094       5.833    
        83.4        0.49      0.6614      0.0363      0.0269       1.815       7.627       5.400    
        88.0        0.52      0.6848      0.0334      0.0252       1.699       7.139       4.958    
        92.6        0.54      0.7058      0.0303      0.0233       1.577       6.627       4.506    
        97.3        0.57      0.7238      0.0272      0.0215       1.450       6.092       4.046    
       101.9        0.60      0.7374      0.0241      0.0195       1.320       5.545       3.581    
       106.5        0.63      0.7455      0.0209      0.0175       1.181       4.962       3.099    
       111.2        0.65      0.7453      0.0176      0.0154       1.039       4.367       2.613    
       115.8        0.68      0.7326      0.0142      0.0132       0.890       3.739       2.111    
       120.4        0.71      0.6960      0.0107      0.0109       0.737       3.097       1.597    
       125.1        0.73      0.6124      0.0072      0.0087       0.585       2.460       1.075    
       129.7        0.76      0.4306      0.0036      0.0064       0.435       1.828       0.542    
       134.3        0.79     -0.0018      0.0000      0.0045       0.301       1.263      -0.002    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      16000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1134      0.0678       5.562      21.910      19.178    
         4.9        0.03      0.0450      0.1050      0.0633       5.189      20.440      17.753    
         9.9        0.05      0.0892      0.0967      0.0588       4.823      19.000      16.360    
        14.8        0.08      0.1327      0.0887      0.0544       4.462      17.577      15.002    
        19.7        0.11      0.1753      0.0809      0.0501       4.109      16.184      13.683    
        24.7        0.14      0.2169      0.0733      0.0459       3.760      14.810      12.398    
        29.6        0.16      0.2576      0.0687      0.0434       3.558      14.015      11.611    
        34.5        0.19      0.2973      0.0665      0.0425       3.484      13.725      11.248    
        39.5        0.22      0.3359      0.0642      0.0415       3.403      13.404      10.861    
        44.4        0.24      0.3736      0.0618      0.0404       3.310      13.038      10.442    
        49.3        0.27      0.4101      0.0592      0.0392       3.214      12.658      10.016    
        54.3        0.30      0.4455      0.0567      0.0380       3.113      12.261       9.582    
        59.2        0.33      0.4798      0.0540      0.0367       3.006      11.842       9.137    
        64.1        0.35      0.5130      0.0514      0.0353       2.895      11.404       8.684    
        69.1        0.38      0.5449      0.0486      0.0339       2.779      10.947       8.222    
        74.0        0.41      0.5755      0.0458      0.0324       2.658      10.469       7.751    
        78.9        0.43      0.6047      0.0430      0.0309       2.530       9.967       7.269    
        83.9        0.46      0.6322      0.0401      0.0293       2.398       9.447       6.780    
        88.8        0.49      0.6578      0.0371      0.0275       2.259       8.897       6.275    
        93.7        0.52      0.6808      0.0341      0.0258       2.117       8.340       5.766    
        98.7        0.54      0.7005      0.0310      0.0240       1.970       7.760       5.245    
       103.6        0.57      0.7169      0.0279      0.0221       1.816       7.153       4.712    
       108.5        0.60      0.7283      0.0246      0.0202       1.656       6.525       4.168    
       113.5        0.62      0.7330      0.0213      0.0182       1.489       5.866       3.608    
       118.4        0.65      0.7278      0.0180      0.0161       1.318       5.192       3.038    
       123.3        0.68      0.7041      0.0145      0.0140       1.148       4.522       2.458    
       128.3        0.71      0.6537      0.0110      0.0119       0.974       3.836       1.861    
       133.2        0.73      0.5563      0.0074      0.0097       0.795       3.130       1.245    
       138.1        0.76      1.0340      0.0104      0.0077       0.628       2.472       1.762    
       143.1        0.79     -0.0020      0.0000      0.0056       0.461       1.817      -0.002    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      17000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1190      0.0761       7.486      27.752      22.718    
         5.2        0.03      0.0421      0.1102      0.0709       6.973      25.851      21.028    
        10.5        0.05      0.0837      0.1015      0.0658       6.471      23.991      19.383    
        15.7        0.08      0.1246      0.0931      0.0608       5.975      22.153      17.775    
        21.0        0.11      0.1649      0.0849      0.0559       5.494      20.367      16.211    
        26.2        0.14      0.2042      0.0768      0.0510       5.016      18.595      14.664    
        31.4        0.16      0.2426      0.0719      0.0482       4.744      17.588      13.730    
        36.7        0.19      0.2800      0.0697      0.0473       4.648      17.233      13.313    
        41.9        0.22      0.3158      0.0674      0.0463       4.553      16.881      12.868    
        47.1        0.24      0.3505      0.0648      0.0451       4.439      16.458      12.377    
        52.4        0.27      0.3825      0.0622      0.0441       4.339      16.088      11.882    
        57.6        0.30      0.4155      0.0596      0.0427       4.204      15.586      11.369    
        62.9        0.33      0.4462      0.0568      0.0414       4.076      15.110      10.849    
        68.1        0.35      0.4749      0.0541      0.0401       3.948      14.635      10.324    
        73.3        0.38      0.5021      0.0513      0.0388       3.811      14.130       9.785    
        78.6        0.41      0.5279      0.0483      0.0372       3.663      13.581       9.229    
        83.8        0.43      0.5522      0.0454      0.0356       3.505      12.994       8.660    
        89.0        0.46     -0.0848     -0.0064      0.0350       3.444      12.767      -1.230    
        94.3        0.49      0.5962      0.0391      0.0320       3.151      11.682       7.471    
        99.5        0.52      0.6151      0.0359      0.0301       2.959      10.971       6.858    
       104.8        0.54      0.6311      0.0327      0.0281       2.760      10.232       6.235    
       110.0        0.57      0.6424      0.0293      0.0260       2.557       9.480       5.600    
       115.2        0.60      0.6514      0.0259      0.0238       2.337       8.663       4.953    
       120.5        0.62      0.6514      0.0225      0.0215       2.117       7.849       4.292    
       125.7        0.65      0.6344      0.0190      0.0195       1.914       7.098       3.623    
       130.9        0.68      0.5989      0.0154      0.0174       1.716       6.360       2.942    
       136.2        0.70      0.5364      0.0118      0.0155       1.522       5.641       2.247    
       141.4        0.73      0.4356      0.0079      0.0134       1.313       4.868       1.517    
       146.7        0.76      0.2670      0.0040      0.0112       1.106       4.100       0.755    
       151.9        0.79     -0.0008      0.0000      0.0093       0.918       3.404      -0.002    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      18000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1229      0.0845       9.868      34.550      26.311    
         5.6        0.03      0.0394      0.1139      0.0789       9.206      32.234      24.386    
        11.2        0.05      0.0783      0.1051      0.0733       8.558      29.966      22.496    
        16.8        0.08      0.1164      0.0965      0.0679       7.929      27.763      20.653    
        22.3        0.11      0.1535      0.0881      0.0627       7.320      25.630      18.864    
        27.9        0.14      0.1897      0.0800      0.0575       6.718      23.523      17.117    
        33.5        0.16      0.2246      0.0753      0.0549       6.407      22.432      16.108    
        39.1        0.19      0.2583      0.0731      0.0541       6.314      22.108      15.648    
        44.7        0.22      0.2910      0.0708      0.0531       6.199      21.706      15.144    
        50.3        0.25      0.3217      0.0683      0.0521       6.086      21.310      14.610    
        55.8        0.27      0.3512      0.0656      0.0510       5.955      20.851      14.045    
        61.4        0.30      0.3803      0.0628      0.0496       5.794      20.286      13.450    
        67.0        0.33      0.4080      0.0600      0.0481       5.619      19.675      12.832    
        72.6        0.35      0.4348      0.0570      0.0465       5.428      19.005      12.191    
        78.2        0.38      0.4606      0.0539      0.0447       5.217      18.267      11.528    
        83.8        0.41      0.4847      0.0507      0.0428       4.999      17.505      10.849    
        89.3        0.44      0.5067      0.0474      0.0409       4.773      16.713      10.151    
        94.9        0.46      0.5263      0.0441      0.0389       4.542      15.902       9.443    
       100.5        0.49      0.5430      0.0407      0.0368       4.299      15.053       8.710    
       106.1        0.52      0.5562      0.0372      0.0347       4.054      14.194       7.970    
       111.7        0.55      0.5655      0.0337      0.0325       3.798      13.297       7.211    
       117.3        0.57      0.5669      0.0301      0.0304       3.551      12.435       6.439    
       122.8        0.60      0.5581      0.0265      0.0285       3.323      11.635       5.661    
       128.4        0.63      0.5392      0.0228      0.0265       3.097      10.844       4.876    
       134.0        0.66      0.5086      0.0191      0.0245       2.865      10.033       4.078    
       139.6        0.68      0.4628      0.0153      0.0225       2.631       9.212       3.270    
       145.2        0.71      0.3952      0.0115      0.0206       2.406       8.426       2.456    
       150.8        0.74      0.3004      0.0077      0.0188       2.199       7.699       1.643    
       156.3        0.76      0.1707      0.0039      0.0173       2.023       7.082       0.828    
       161.9        0.79     -0.0010      0.0000      0.0161       1.876       6.570      -0.004    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      19000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1151      0.0870      11.944      39.620      27.438    
         5.8        0.03      0.0352      0.1066      0.0812      11.148      36.979      25.432    
        11.6        0.05      0.0699      0.0984      0.0755      10.360      34.366      23.460    
        17.4        0.08      0.1040      0.0904      0.0699       9.593      31.820      21.546    
        23.2        0.11      0.1375      0.0825      0.0644       8.837      29.312      19.671    
        29.0        0.13      0.1702      0.0749      0.0590       8.097      26.859      17.850    
        34.7        0.16      0.2021      0.0699      0.0556       7.637      25.331      16.657    
        40.5        0.19      0.2329      0.0677      0.0546       7.491      24.849      16.142    
        46.3        0.21      0.2626      0.0654      0.0534       7.332      24.322      15.585    
        52.1        0.24      0.2907      0.0629      0.0522       7.169      23.782      14.999    
        57.9        0.27      0.3176      0.0604      0.0510       7.002      23.227      14.402    
        63.7        0.30      0.3428      0.0578      0.0498       6.832      22.664      13.790    
        69.5        0.32      0.3665      0.0552      0.0485       6.655      22.074      13.162    
        75.3        0.35      0.3885      0.0525      0.0471       6.468      21.454      12.516    
        81.1        0.38      0.4084      0.0497      0.0457       6.277      20.823      11.859    
        86.9        0.40      0.4263      0.0469      0.0442       6.071      20.137      11.173    
        92.6        0.43      0.4417      0.0439      0.0427       5.858      19.432      10.473    
        98.4        0.46      0.4546      0.0409      0.0410       5.634      18.687       9.757    
       104.2        0.48      0.4644      0.0378      0.0393       5.401      17.914       9.024    
       110.0        0.51      0.4706      0.0347      0.0376       5.156      17.104       8.270    
       115.8        0.54      0.4720      0.0315      0.0357       4.908      16.281       7.501    
       121.6        0.56      0.4673      0.0282      0.0340       4.666      15.478       6.725    
       127.4        0.59      0.4558      0.0249      0.0322       4.421      14.666       5.932    
       133.2        0.62      0.4381      0.0215      0.0303       4.157      13.790       5.129    
       139.0        0.64      0.4097      0.0181      0.0284       3.901      12.941       4.313    
       144.8        0.67      0.3697      0.0146      0.0265       3.637      12.066       3.484    
       150.6        0.70      0.3140      0.0111      0.0246       3.373      11.188       2.638    
       156.3        0.72      0.2388      0.0075      0.0226       3.109      10.312       1.780    
       162.1        0.75      0.1369      0.0038      0.0206       2.831       9.391       0.896    
       167.9        0.78      0.0011      0.0000      0.0188       2.581       8.563       0.006    
                                                                                                    
                                                                                                    
                                                                                                    
         PROP RPM =      20000                                                                      
                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust   
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)   
         0.0        0.00      0.0000      0.1117      0.0898      14.387      45.338      29.509    
         6.0        0.03      0.0326      0.1036      0.0841      13.474      42.461      27.378    
        12.0        0.05      0.0646      0.0957      0.0785      12.566      39.599      25.279    
        18.1        0.08      0.0959      0.0879      0.0728      11.665      36.758      23.230    
        24.1        0.11      0.1266      0.0803      0.0673      10.774      33.951      21.226    
        30.1        0.13      0.1564      0.0729      0.0618       9.894      31.179      19.272    
        36.1        0.16      0.1854      0.0677      0.0581       9.296      29.294      17.888    
        42.2        0.19      0.2135      0.0656      0.0569       9.119      28.736      17.323    
        48.2        0.21      0.2406      0.0632      0.0557       8.921      28.113      16.710    
        54.2        0.24      0.2666      0.0608      0.0544       8.705      27.433      16.058    
        60.2        0.26      0.2915      0.0583      0.0530       8.486      26.740      15.401    
        66.2        0.29      0.3151      0.0558      0.0516       8.263      26.037      14.739    
        72.3        0.32      0.3374      0.0533      0.0502       8.040      25.338      14.076    
        78.3        0.34      0.3576      0.0508      0.0489       7.838      24.699      13.425    
        84.3        0.37      0.3732      0.0484      0.0481       7.706      24.285      12.791    
        90.3        0.40      0.3844      0.0459      0.0475       7.607      23.972      12.140    
        96.4        0.42      0.3944      0.0432      0.0465       7.439      23.443      11.420    
       102.4        0.45      0.4018      0.0404      0.0453       7.247      22.837      10.666    
       108.4        0.48      0.4086      0.0373      0.0436       6.977      21.987       9.863    
       114.4        0.50      0.4119      0.0342      0.0418       6.694      21.095       9.035    
       120.4        0.53      0.4115      0.0310      0.0399       6.397      20.159       8.197    
       126.5        0.56      0.4061      0.0278      0.0381       6.101      19.227       7.348    
       132.5        0.58      0.3951      0.0246      0.0363       5.810      18.310       6.498    
       138.5        0.61      0.3768      0.0213      0.0344       5.506      17.351       5.617    
       144.5        0.64      0.3498      0.0179      0.0325       5.202      16.394       4.721    
       150.6        0.66      0.3129      0.0144      0.0306       4.897      15.430       3.816    
       156.6        0.69      0.2635      0.0110      0.0286       4.587      14.455       2.895    
       162.6        0.72      0.1857      0.0069      0.0265       4.242      13.369       1.817    
       168.6        0.74      0.1133      0.0038      0.0248       3.976      12.529       1.002    
       174.6        0.77      0.0007      0.0000      0.0229       3.669      11.563       0.006    
                                                                                                    
                                                                                                    
                                                                                                    
